Customer ID,Gender,Age,Married,Dependents,Number of Dependents,Referred a Friend,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Tenure,Distance call,Campaign,age group
8952-WCVCD,Female,45,Yes,No,0,Yes,41,Offer B,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.45,4162.05,403.85,4565.9,3,4 years+,Yes,Yes,Young_adult
6345-HOVES,Male,59,No,No,0,No,34,None,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.05,852.7,0.0,852.7,4,3 years,No,No,Young_adult
5697-GOMBF,Female,75,Yes,Yes,3,Yes,28,None,No,No,Yes,DSL,No,No,No,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,35.9,973.65,0.0,1013.65,5,3 years,No,No,Senioir_citizen
0967-BMLBD,Female,37,Yes,Yes,1,Yes,11,Offer D,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.0,196.35,541.09,737.44,5,1 year,Yes,Yes,Young_adult
9281-CEDRU,Female,23,Yes,No,0,Yes,68,None,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,64.1,4326.25,586.16,4893.29,5,4 years+,Yes,No,Under_30
6207-WIOLX,Female,27,Yes,No,0,Yes,25,Offer C,No,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,58.6,1502.65,0.0,1498.17,1,3 years,No,Yes,Under_30
7493-GVFIO,Male,56,No,No,0,No,57,Offer B,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.55,1252.85,740.43,1993.28,3,4 years+,Yes,Yes,Young_adult
6919-ELBGL,Male,75,Yes,No,0,Yes,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.95,8196.4,1539.36,9735.76,3,4 years+,Yes,Yes,Senioir_citizen
4824-GUCBY,Female,77,No,No,0,No,22,None,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,81.7,1820.9,515.46,2306.48,4,2 years,Yes,No,Senioir_citizen
5389-FFVKB,Male,71,Yes,No,0,Yes,32,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,80.3,2483.05,66.56,2549.61,1,3 years,Yes,No,Senioir_citizen
6575-SUVOI,Female,65,Yes,No,0,Yes,25,None,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,69.5,1752.65,765.0,2517.65,4,3 years,Yes,No,Senioir_citizen
4074-SJFFA,Female,44,No,No,0,No,1,None,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,54.75,54.75,13.01,67.76,3,1 year,Yes,No,Young_adult
0689-DSXGL,Female,61,Yes,Yes,1,Yes,52,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.8,4433.3,877.24,5310.54,3,4 years+,Yes,Yes,Young_adult
4646-QZXTF,Female,38,Yes,No,0,Yes,7,None,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,81.25,580.1,85.12,617.86,3,1 year,Yes,No,Young_adult
3261-CQXOL,Female,33,Yes,Yes,2,No,71,Offer A,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,25.45,1813.35,294.65,2108.0,3,4 years+,Yes,Yes,Young_adult
1452-VOQCH,Male,61,No,No,0,No,1,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.1,75.1,4.53,79.63,3,1 year,Yes,No,Young_adult
