Customer ID,Count,Gender,Age,Married,Dependents,Number of Dependents,Referred a Friend,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Churn Value,Tenure,Distance call,Campaign,age group
8779-QRDMV,1,Male,78,No,No,0,No,1,None,No,No,Yes,DSL,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,59.65,3,Yes,1,1 year,No,No,Senioir_citizen
7495-OOKFY,1,Female,74,Yes,Yes,1,Yes,8,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,390.8,1024.1,3,Yes,1,1 year,Yes,Yes,Senioir_citizen
1658-BYGOY,1,Male,71,No,Yes,3,No,18,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,203.94,1910.88,2,Yes,1,2 years,Yes,Yes,Senioir_citizen
4598-XLKNJ,1,Female,78,Yes,Yes,1,Yes,25,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,494.00000000000006,2995.07,2,Yes,1,3 years,Yes,Yes,Senioir_citizen
4846-WHAFZ,1,Female,80,Yes,Yes,1,Yes,37,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,234.21,3102.36,2,Yes,1,4 years+,Yes,Yes,Senioir_citizen
4412-YLTKF,1,Female,72,No,Yes,1,No,27,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,89.91,2235.41,1,Yes,1,3 years,Yes,Yes,Senioir_citizen
0390-DCFDQ,1,Female,76,Yes,Yes,2,Yes,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,15.28,85.73,2,Yes,1,1 year,Yes,Yes,Senioir_citizen
3445-HXXGF,1,Male,66,Yes,No,0,Yes,58,Offer B,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,0.0,2610.25,1,Yes,1,4 years+,No,Yes,Senioir_citizen
2656-FMOKZ,1,Female,70,No,Yes,2,No,15,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,661.05,1806.75,2,Yes,1,2 years,Yes,Yes,Senioir_citizen
2070-FNEXE,1,Female,77,No,Yes,2,No,7,Offer E,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,188.65,681.2,2,Yes,1,1 year,Yes,Yes,Senioir_citizen
0094-OIFMO,1,Female,78,No,Yes,1,No,11,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,127.49,1367.79,1,Yes,1,1 year,Yes,Yes,Senioir_citizen
9514-JDSKI,1,Male,77,Yes,No,0,Yes,1,Offer E,No,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,40.2,2,Yes,1,1 year,No,Yes,Senioir_citizen
7273-TEFQD,1,Male,67,No,No,0,No,3,Offer E,No,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,132.2,2,Yes,1,1 year,No,Yes,Senioir_citizen
3606-TWKGI,1,Male,68,No,No,0,No,13,Offer D,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,424.84,1799.14,1,Yes,1,2 years,Yes,Yes,Senioir_citizen
4385-GZQXV,1,Female,68,No,No,0,No,16,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,150.88,1662.08,1,Yes,1,2 years,Yes,Yes,Senioir_citizen
3488-PGMQJ,1,Male,66,No,No,0,No,8,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,14.24,620.79,2,Yes,1,1 year,Yes,No,Senioir_citizen
2840-XANRC,1,Male,77,Yes,No,0,Yes,24,Offer C,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,386.4,2617.4500000000003,2,Yes,1,2 years,Yes,Yes,Senioir_citizen
5020-ZSTTY,1,Female,70,No,No,0,No,54,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,652.32,5002.42,1,Yes,1,4 years+,Yes,Yes,Senioir_citizen
5804-LEPIM,1,Female,74,No,No,0,No,2,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,26.34,165.39,3,Yes,1,1 year,Yes,Yes,Senioir_citizen
0623-IIHUG,1,Female,77,No,No,0,No,21,None,No,No,Yes,Cable,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,840.1,1,Yes,1,2 years,No,No,Senioir_citizen
9057-MSWCO,1,Male,71,Yes,No,0,No,27,None,No,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,945.1,1,Yes,1,3 years,No,No,Senioir_citizen
4895-TMWIR,1,Male,79,Yes,No,0,Yes,11,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,324.94,539.69,1,Yes,1,1 year,Yes,No,Senioir_citizen
0533-BNWKF,1,Female,66,Yes,No,0,Yes,55,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,2355.1,7319.799999999999,1,Yes,1,4 years+,Yes,Yes,Senioir_citizen
0334-GDDSO,1,Male,77,No,No,0,No,3,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,27.660000000000004,261.36,1,Yes,1,1 year,Yes,Yes,Senioir_citizen
