Customer ID,Count,Gender,Age,Married,Dependents,Number of Dependents,Referred a Friend,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Tenure,Distance call,Campaign,age group,Predicted,Churn_Probability
8952-WCVCD,1,Female,45,Yes,No,0,Yes,41,Offer B,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.45,4162.05,403.85,4565.9,3,No,4 years+,Yes,Yes,Young_adult,0,0.07
6345-HOVES,1,Male,59,No,No,0,No,34,None,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.05,852.7,0.0,852.7,4,No,3 years,No,No,Young_adult,0,0.03
5697-GOMBF,1,Female,75,Yes,Yes,3,Yes,28,None,No,No,Yes,DSL,No,No,No,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,35.9,973.65,0.0,1013.65,5,No,3 years,No,No,Senioir_citizen,0,0.02
0967-BMLBD,1,Female,37,Yes,Yes,1,Yes,11,Offer D,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.0,196.35,541.09,737.44,5,No,1 year,Yes,Yes,Young_adult,0,0.01
9281-CEDRU,1,Female,23,Yes,No,0,Yes,68,None,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,64.1,4326.25,586.16,4893.29,5,No,4 years+,Yes,No,Under_30,0,0.01
7493-GVFIO,1,Male,56,No,No,0,No,57,Offer B,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.55,1252.85,740.43,1993.28,3,No,4 years+,Yes,Yes,Young_adult,0,0.02
6919-ELBGL,1,Male,75,Yes,No,0,Yes,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.95,8196.4,1539.36,9735.76,3,No,4 years+,Yes,Yes,Senioir_citizen,0,0.01
4824-GUCBY,1,Female,77,No,No,0,No,22,None,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,81.7,1820.9,515.46,2306.48,4,No,2 years,Yes,No,Senioir_citizen,0,0.0
5389-FFVKB,1,Male,71,Yes,No,0,Yes,32,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,80.3,2483.05,66.56,2549.61,1,Yes,3 years,Yes,No,Senioir_citizen,1,0.98
6575-SUVOI,1,Female,65,Yes,No,0,Yes,25,None,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,69.5,1752.65,765.0,2517.65,4,No,3 years,Yes,No,Senioir_citizen,0,0.02
